feature,threshold_type,threshold_value,false_positive_rate
Active Mean,p95,216067.93636363652,0.05000551176762388
Active Mean,p99,1391085.9450000115,0.010003858237336714
Active Mean,p999,8056576.081786124,0.0010058975913575484
Down/Up Ratio,p95,1.0,0.01181585184368627
Down/Up Ratio,p99,2.0,0.004560987708758199
Down/Up Ratio,p999,4.0,0.0001584633191864631
Flow Bytes/s,p95,3660878.321085398,0.05000551176762388
Flow Bytes/s,p99,12333333.3333333,0.009817836080030866
Flow Bytes/s,p999,122086956.521739,0.0009990078818277021
Flow Duration,p95,104842108.3,0.05000551176762388
Flow Duration,p99,117771298.15,0.010003858237336714
Flow Duration,p999,119767413.66100003,0.0010058975913575484
Flow IAT Mean,p95,3713759.511290327,0.05000551176762388
Flow IAT Mean,p99,24998409.05000024,0.010003858237336714
Flow IAT Mean,p999,64066094.56,0.0010058975913575484
Flow IAT Std,p95,5005977.492515072,0.05000551176762388
Flow IAT Std,p99,37943534.01359954,0.010003858237336714
Flow IAT Std,p999,64840843.03622989,0.0010058975913575484
Packet Length Mean,p95,392.8571428571,0.04999862205809403
Packet Length Mean,p99,889.8131793001721,0.010003858237336714
Packet Length Mean,p999,1280.821394677919,0.0010058975913575484
Packet Length Std,p95,665.4639768578852,0.05000551176762388
Packet Length Std,p99,1048.7964055605732,0.010003858237336714
Packet Length Std,p999,1249.287683993955,0.0010058975913575484
