context_feature,threshold_q99,Label,Flow IAT Std,Flow Duration,Flow Bytes/s,Flow IAT Mean,Active Mean,Packet Length Std
Flow IAT Std,37943534.01359954,BENIGN,77212853.0692115,109195572,0.3388415787,,,
Flow IAT Std,37943534.01359954,BENIGN,72973791.7566186,103200624,0.358524964,,,
Flow IAT Std,37943534.01359954,BENIGN,69064734.6933243,119715113,3.0572581091,,,
Flow IAT Std,37943534.01359954,BENIGN,69051004.6613483,119706414,1.720876878,,,
Flow IAT Std,37943534.01359954,BENIGN,68999512.0746425,119763176,3.5653697093,,,
Flow IAT Std,37943534.01359954,BENIGN,68926500.6492595,119624692,3.4859023921,,,
Flow IAT Std,37943534.01359954,BENIGN,68905377.090157,119466371,2.3353852441,,,
Flow IAT Std,37943534.01359954,BENIGN,68893100.040107,119446344,2.411124446,,,
Flow IAT Std,37943534.01359954,BENIGN,68789816.5017323,119284151,3.3365706732,,,
Flow IAT Std,37943534.01359954,BENIGN,68752816.8949078,119309530,3.0341247677,,,
Flow IAT Std,37943534.01359954,BENIGN,68731772.9452117,119184119,2.5087234986,,,
Flow IAT Std,37943534.01359954,BENIGN,68703216.1826076,119182833,3.8092734379,,,
Flow IAT Std,37943534.01359954,BENIGN,68681826.4710886,119056119,3.0909793053,,,
Flow IAT Std,37943534.01359954,BENIGN,68681141.9375928,119096395,3.0479511995,,,
Flow IAT Std,37943534.01359954,BENIGN,68517277.3122632,118769697,2.4164412914,,,
Flow IAT Std,37943534.01359954,BENIGN,68516044.9164761,118911064,3.5320514835,,,
Flow IAT Std,37943534.01359954,BENIGN,68462511.0674355,118750028,2.5852625483,,,
Flow IAT Std,37943534.01359954,BENIGN,68346097.3766964,118459853,3.1065377061,,,
Flow IAT Std,37943534.01359954,BENIGN,68277807.5018605,118608996,2.2173697516,,,
Flow IAT Std,37943534.01359954,BENIGN,67931218.2176873,117903603,2.7225631095,,,
Flow IAT Std,37943534.01359954,BENIGN,67845915.654813,117604373,2.0577466112,,,
Flow IAT Std,37943534.01359954,BENIGN,67738098.9669269,117443968,2.8439093611,,,
Flow IAT Std,37943534.01359954,BENIGN,67643191.847248,117668682,3.4843595852,,,
Flow IAT Std,37943534.01359954,BENIGN,67595252.2162225,117183144,2.6454316672,,,
Flow IAT Std,37943534.01359954,BENIGN,67479406.7758065,116969750,2.5134703631,,,
Flow IAT Mean,24998409.05000024,BENIGN,,114392571,0.0,114392571.0,,
Flow IAT Mean,24998409.05000024,BENIGN,,109433993,0.1096551416,109433993.0,,
Flow IAT Mean,24998409.05000024,BENIGN,,109152243,0.0,109152243.0,,
Flow IAT Mean,24998409.05000024,BENIGN,,84072257,0.0,84072257.0,,
