source_file,alerts,threshold
Tuesday-WorkingHours.pcap_ISCX.csv,28991,p95
Monday-WorkingHours.pcap_ISCX.csv,25250,p95
Wednesday-workingHours.pcap_ISCX.csv,23577,p95
Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,13594,p95
Friday-WorkingHours-Morning.pcap_ISCX.csv,10239,p95
Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,9843,p95
Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,7338,p95
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,3622,p95
Monday-WorkingHours.pcap_ISCX.csv,4894,p99
Tuesday-WorkingHours.pcap_ISCX.csv,4774,p99
Wednesday-workingHours.pcap_ISCX.csv,4763,p99
Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,2578,p99
Friday-WorkingHours-Morning.pcap_ISCX.csv,2182,p99
Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,1907,p99
Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,1434,p99
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,700,p99
Monday-WorkingHours.pcap_ISCX.csv,2380,p995
Wednesday-workingHours.pcap_ISCX.csv,2369,p995
Tuesday-WorkingHours.pcap_ISCX.csv,2228,p995
Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,1320,p995
Friday-WorkingHours-Morning.pcap_ISCX.csv,1151,p995
Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,980,p995
Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,700,p995
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,377,p995
Wednesday-workingHours.pcap_ISCX.csv,466,p999
Monday-WorkingHours.pcap_ISCX.csv,447,p999
Tuesday-WorkingHours.pcap_ISCX.csv,437,p999
Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,294,p999
Friday-WorkingHours-Morning.pcap_ISCX.csv,241,p999
Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,231,p999
Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,125,p999
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,66,p999
